Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
359,True,900,1600,1,45,1,64.92%,70.65,-402,0.01093,-0.80095,-1.1981,0.514,nan,7.394,113.2,5.6,112500,58909
360,True,900,1600,1,45,1,65.24%,60.95,-385,-1.02061,-0.90543,-1.20018,0.513,nan,6.169,118.85,6.4,112500,79476
361,True,900,1600,1,45,1,64.88%,55.65,-315,-0.1518,-1.34095,-1.20394,0.613,0.577,6.468,123.5,16.55,112500,57432
362,True,900,1600,1,45,1,64.92%,57.45,-709,-0.82641,1.40515,-1.20028,0.509,0.57,6.685,118.1,21.65,112500,59450
363,True,900,1600,1,45,1,64.84%,92.35,-288,0.00377,-0.0678,-1.19845,0.502,nan,6.395,126.2,6.75,112500,54107
364,True,900,1600,1,45,1,65.36%,67.15,-553,-0.99738,-1.48823,-1.19898,0.562,0.632,5.902,120.0,9.4,112500,86171
365,True,900,1600,1,45,1,64.88%,58.8,-277,-0.59959,-1.44404,-1.1981,0.571,0.577,7.475,116.3,9.45,112500,55810
366,True,900,1600,1,45,1,65.04%,61.2,-271,-0.14878,-0.35184,-1.19912,0.9,nan,6.725,107.75,7.65,112500,66671
367,True,900,1600,1,45,1,64.92%,63.15,-377,-0.07798,-1.60571,-1.19966,2.512,0.513,7.02,105.35,12.1,112500,59335
368,True,900,1600,1,45,1,65.08%,55.25,-588,-0.44338,-1.67705,-1.20221,2.211,0.055,6.23,110.2,12.4,112500,69858
369,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
370,True,900,1600,1,45,1,65.2%,63.75,-296,-0.31698,-0.91737,-1.19872,0.555,nan,6.214,102.25,15.15,112500,76077
371,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
372,True,900,1600,1,45,1,64.84%,53.9,-235,0.20707,-0.85575,-1.20092,0.671,0.099,6.25,109.3,12.65,112500,54527
373,True,900,1600,1,45,1,65.08%,53.45,-463,-0.81397,-1.40076,-1.20023,1.543,0.548,6.406,118.0,8.1,112500,69465
374,True,900,1600,1,45,1,64.96%,86.55,-260,-0.13603,-1.27953,-1.19797,0.629,0.548,6.768,108.15,11.6,112500,61128
375,True,900,1600,1,45,1,64.8%,92.55,-179,0.0555,-0.69895,-1.19905,0.591,0.824,6.957,94.9,20.5,112500,51742
376,True,900,1600,1,45,1,64.92%,57.65,-721,-0.32179,-1.30116,-1.20076,0.764,0.577,5.737,106.8,9.75,112500,57858
377,True,900,1600,1,45,1,64.72%,93.0,-410,0.0452,-1.00955,-1.19744,0.491,nan,6.636,97.15,7.15,112500,46504
378,True,900,1600,1,45,1,64.84%,70.05,-407,-0.28357,0.3952,-1.19815,0.632,0.577,6.56,112.15,18.4,112500,54033
379,True,900,1600,1,45,1,64.84%,63.75,-438,-1.08262,-0.00881,-1.20426,1.179,1.769,6.468,115.9,20.9,112500,54926
380,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
381,True,900,1600,1,45,1,64.84%,92.1,-110,0.75866,-1.22391,-1.19815,0.544,0.577,6.752,117.05,10.45,112500,54032
382,True,900,1600,1,45,1,65.0%,72.6,-163,-0.97512,-0.74622,-1.20033,0.554,nan,6.347,116.15,21.65,112500,64475
383,True,900,1600,1,45,1,65.0%,76.8,-292,-0.46456,-1.23545,-1.1983,0.576,0.577,6.305,107.65,19.4,112500,63863
384,True,900,1600,1,45,1,64.92%,62.8,-689,-0.16397,1.95233,-1.20323,0.647,nan,6.623,119.15,11.95,112500,59883
385,True,900,1600,1,45,1,65.08%,89.6,-393,-0.65301,-1.09243,-1.20055,1.082,0.343,6.319,113.75,14.0,112500,67866
386,True,900,1600,1,45,1,64.72%,92.2,-374,0.00042,-0.8596,-1.1966,1.518,0.577,6.459,107.15,11.85,112500,45941
387,True,900,1600,1,45,1,64.88%,90.25,-470,-0.0073,-0.94256,-1.19959,0.513,nan,6.471,104.65,24.2,112500,56823
