Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
925,True,900,1600,1,45,1,64.8%,93.05,-105,0.06392,-0.43694,-1.20174,0.564,0.722,6.615,109.6,15.8,112500,52113
926,True,900,1600,1,45,1,64.96%,89.2,-229,-0.07408,-1.0689,-1.19826,0.505,0.535,6.055,109.3,12.6,112500,60874
927,True,900,1600,1,45,1,65.04%,61.9,-482,-0.19791,-1.57896,-1.20004,0.706,nan,6.518,121.95,10.4,112500,66918
928,True,900,1600,1,45,1,64.92%,61.8,-693,-0.44319,-0.79627,-1.20182,0.543,0.548,6.489,103.95,12.4,112500,59693
929,True,900,1600,1,45,1,64.96%,58.2,-457,0.16533,-1.04319,-1.20284,0.659,1.65,6.804,106.35,13.4,112500,60120
930,True,900,1600,1,45,1,64.84%,90.85,-477,0.46985,-1.416,-1.20033,22.988,0.577,7.093,116.4,17.1,112500,54443
931,True,900,1600,1,45,1,65.12%,90.5,-224,-0.35506,-1.47603,-1.19853,0.512,nan,6.35,110.05,20.55,112500,71066
932,True,900,1600,1,45,1,65.0%,72.9,-322,-0.70607,-0.95753,-1.19853,9.132,0.508,6.478,132.4,14.6,112500,63983
933,True,900,1600,1,45,1,65.04%,91.8,-314,-0.47578,-1.10657,-1.20176,2.285,0.577,6.161,105.85,16.75,112500,67255
934,True,900,1600,1,45,1,64.84%,63.6,-410,-0.13606,-0.88103,-1.19751,1.95,0.577,6.157,123.7,20.3,112500,53454
935,True,900,1600,1,45,1,65.0%,59.8,-589,-0.64882,-1.18814,-1.19814,0.738,0.5,6.561,101.8,7.35,112500,63691
936,True,900,1600,1,45,1,65.28%,56.65,-581,-0.97671,-1.21888,-1.20003,0.536,0.577,5.716,123.4,15.1,112500,80468
937,True,900,1600,1,45,1,64.84%,54.45,-423,-0.3537,-0.89434,-1.20247,0.526,0.548,6.938,114.4,9.2,112500,52712
938,True,900,1600,1,45,1,65.12%,60.2,-300,0.45792,-1.34401,-1.2009,0.515,0.577,6.295,116.9,7.5,112500,72128
