Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
309,True,900,1600,1,45,1,65.08%,64.25,-622,-0.73428,-0.39955,-1.1984,0.508,nan,6.464,106.95,6.6,112500,68634
310,True,900,1600,1,45,1,64.8%,91.95,-263,-0.44972,-1.37493,-1.19775,0.784,0.418,6.17,113.3,28.35,112500,50789
311,True,900,1600,1,45,1,65.0%,61.95,-278,-0.65021,-1.19982,-1.20157,0.522,nan,6.21,123.1,23.9,112500,62739
312,True,900,1600,1,45,1,65.12%,57.6,-348,0.19279,-0.0533,-1.19869,0.508,0.577,5.883,128.3,12.25,112500,70907
313,True,900,1600,1,45,1,65.2%,90.1,-317,0.38342,-1.33019,-1.19986,0.516,0.577,6.611,110.2,8.6,112500,75510
314,True,900,1600,1,45,1,64.96%,58.1,-407,-0.23802,-1.45995,-1.19848,0.727,0.816,6.332,125.4,17.45,112500,60790
315,True,900,1600,1,45,1,65.08%,59.75,-588,-0.57141,-1.31121,-1.199,0.567,0.548,6.249,115.0,12.05,112500,68226
316,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
317,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
318,True,900,1600,1,45,1,65.28%,59.15,-549,-0.98622,-0.98517,-1.19916,0.53,nan,6.055,111.05,13.9,112500,81549
319,True,900,1600,1,45,1,65.0%,58.3,-252,0.07035,-0.69436,-1.20062,0.675,0.902,7.035,118.55,10.95,112500,64530
320,True,900,1600,1,45,1,65.04%,67.65,-736,-0.24926,-1.10166,-1.19866,7.644,0.577,6.146,109.95,21.25,112500,65815
321,True,900,1600,1,45,1,64.92%,89.75,-506,0.04958,0.36386,-1.19814,0.503,0.577,6.586,110.45,13.65,112500,58926
322,True,900,1600,1,45,1,64.96%,61.1,-384,-0.72278,-1.36756,-1.198,0.65,nan,6.122,103.9,8.6,112500,61060
323,True,900,1600,1,45,1,64.92%,80.75,-396,0.17128,-1.60586,-1.20413,0.8,0.816,6.228,110.1,15.1,112500,59995
