Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
392,True,900,1600,1,45,1,65.0%,70.95,-308,0.13599,-0.69322,-1.19839,0.686,nan,6.399,109.75,7.65,112500,63383
393,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
394,True,900,1600,1,45,1,65.04%,70.6,-501,-0.45133,-1.29306,-1.20156,0.602,1.689,6.216,110.9,21.25,112500,67220
395,True,900,1600,1,45,1,64.92%,71.25,-469,-0.33792,-0.91748,-1.19788,3.01,0.548,6.539,97.7,4.9,112500,58781
396,True,900,1600,1,45,1,64.92%,57.55,-359,0.47259,-0.38392,-1.19892,0.685,0.548,6.741,106.05,13.9,112500,59171
397,True,900,1600,1,45,1,65.16%,67.15,-495,-0.18231,-0.84227,-1.19878,0.629,nan,6.221,116.5,9.15,112500,73912
398,True,900,1600,1,45,1,64.88%,90.85,-309,0.16358,-1.26688,-1.20225,0.558,0.577,7.1,103.2,14.4,112500,57226
399,True,900,1600,1,45,1,65.24%,63.6,-1128,-0.47587,-0.23754,-1.20091,0.544,0.577,6.371,95.45,15.2,112500,77767
400,True,900,1600,1,45,1,64.96%,59.75,-449,-0.6358,-1.26487,-1.19842,0.801,nan,6.036,104.2,10.25,112500,61488
401,True,900,1600,1,45,1,64.88%,74.7,-392,-0.21391,-0.72892,-1.20346,0.504,0.527,6.488,110.85,21.3,112500,57375
402,True,900,1600,1,45,1,65.04%,59.45,-560,0.29123,0.01451,-1.2,0.754,0.577,5.923,104.05,5.9,112500,65466
403,True,900,1600,1,45,1,64.96%,55.25,-325,0.4396,-0.31669,-1.20095,0.501,0.577,6.356,112.35,3.9,112500,60327
404,True,900,1600,1,45,1,64.88%,73.95,-342,0.47494,-0.97208,-1.19806,0.5,0.516,6.978,107.8,20.5,112500,55823
405,True,900,1600,1,45,1,64.88%,68.0,-558,-0.18708,-0.97914,-1.19765,0.588,0.577,6.531,104.3,11.35,112500,56244
406,True,900,1600,1,45,1,64.84%,59.2,-538,0.1296,-1.06127,-1.20261,0.588,0.577,6.727,102.05,8.3,112500,54742
407,False,900,1600,1,45,1,64.0%,0.0,-1,,,,,,,,,112500,0
408,True,900,1600,1,45,1,65.0%,90.25,-362,-0.67831,-0.69652,-1.19819,0.752,0.577,6.308,102.85,27.5,112500,63770
409,True,900,1600,1,45,1,65.0%,64.8,-539,-0.24222,0.03798,-1.20026,0.851,0.577,6.517,109.35,7.8,112500,64460
410,True,900,1600,1,45,1,64.68%,78.95,-145,0.94919,-0.96889,-1.19923,0.575,0.577,7.643,99.5,14.45,112500,44289
411,True,900,1600,1,45,1,65.0%,92.3,-191,-0.39611,-0.92708,-1.19878,0.565,0.577,6.309,122.5,24.15,112500,63236
412,True,900,1600,1,45,1,64.84%,86.25,-570,-0.26636,-1.30826,-1.19811,0.518,0.548,6.637,114.4,25.05,112500,54020
413,True,900,1600,1,45,1,64.84%,54.85,-455,-0.27624,-1.34219,-1.19805,0.492,0.548,6.35,110.5,10.9,112500,54005
414,False,900,1600,1,45,1,64.0%,0.0,0,,,,,,,,,112500,0
415,True,900,1600,1,45,1,64.96%,65.35,-211,0.56603,-0.6275,-1.20338,0.629,0.577,6.987,93.5,14.9,112500,60069
416,True,900,1600,1,45,1,65.12%,62.9,-402,-0.40135,-1.01054,-1.20113,0.514,0.577,6.062,112.1,8.45,112500,72176
417,True,900,1600,1,45,1,65.04%,58.3,-384,-0.29134,-0.70522,-1.20215,0.622,nan,6.512,125.35,6.65,112500,67321
418,True,900,1600,1,45,1,65.12%,65.95,-786,-1.07318,-1.1583,-1.19866,0.499,nan,6.493,121.1,6.65,112500,70932
419,True,900,1600,1,45,1,64.96%,56.9,-386,-1.0211,-1.47069,-1.20341,0.596,0.548,6.523,124.35,9.15,112500,62443
420,True,900,1600,1,45,1,64.84%,91.6,-341,-0.05902,0.93967,-1.19856,14.965,nan,6.701,100.85,19.6,112500,53163
421,True,900,1600,1,45,1,64.96%,92.25,-717,-0.1328,-1.11906,-1.2009,0.488,0.548,6.133,107.05,11.35,112500,62068
422,True,900,1600,1,45,1,65.08%,90.3,-274,-0.87214,-1.11199,-1.1984,0.522,0.577,5.985,112.7,8.1,112500,68602
423,True,900,1600,1,45,1,64.68%,92.25,-245,0.78626,-1.03575,-1.20087,4.774,13.284,6.59,90.4,18.9,112500,42874
424,True,900,1600,1,45,1,65.0%,63.85,-753,-0.37309,-0.00742,-1.19946,0.533,0.577,6.344,102.2,15.15,112500,63067
425,True,900,1600,1,45,1,64.84%,78.0,-341,-0.13997,-1.03413,-1.19985,0.576,0.908,6.438,102.3,14.95,112500,54369
426,True,900,1600,1,45,1,64.88%,53.85,-345,-1.07411,-1.03054,-1.19768,0.607,0.548,6.494,113.65,6.15,112500,55990
