Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
327,True,900,1600,50,35,5,70.0%,80.35,-200,-0.2885,0.94712,-1.33032,3.587,14.496,6.462,122.85,29.5,87500,48725
328,True,900,1600,50,35,5,72.0%,61.95,-222,-0.78042,-0.28278,-1.19108,0.623,0.548,5.561,131.5,19.35,87500,51225
329,True,900,1600,50,35,5,72.0%,63.0,-314,-0.60068,-1.38611,-1.34155,0.622,nan,6.335,109.25,16.9,87500,50093
330,True,900,1600,50,35,5,70.0%,91.4,-182,-0.61344,-0.82746,-1.17988,0.551,0.577,6.737,107.7,10.3,87500,44544
331,True,900,1600,50,35,5,72.0%,90.5,-241,-0.72693,-1.08769,-1.22818,2.213,nan,6.399,109.3,12.65,87500,59111
332,True,900,1600,50,35,5,70.0%,60.25,-265,-0.82571,-1.06437,-1.29038,0.791,0.55,5.739,119.5,11.3,87500,47366
333,True,900,1600,50,35,5,72.0%,91.7,-211,-0.34133,-0.209,-1.1376,0.747,0.577,6.541,113.7,14.6,87500,52116
334,True,900,1600,50,35,5,70.0%,91.3,-91,0.43863,-0.54201,-1.04013,1.079,0.096,6.665,111.75,19.75,87500,41304
335,True,900,1600,50,35,5,68.0%,93.05,-169,0.17805,-1.3712,-1.49169,0.752,0.548,7.035,121.95,30.8,87500,37113
336,True,900,1600,50,35,5,72.0%,92.5,-114,-0.902,-1.15936,-1.12641,0.981,1.225,6.622,121.35,14.85,87500,54807
337,True,900,1600,50,35,5,72.0%,63.2,-381,-0.85268,-0.06042,-1.13089,0.844,0.544,6.49,112.05,25.8,87500,55063
338,True,900,1600,50,35,5,70.0%,54.35,-280,-1.04603,-1.44403,-1.35072,0.494,0.548,6.333,114.65,9.25,87500,49566
339,True,900,1600,50,35,5,70.0%,67.45,-289,-1.45018,-0.93364,-1.12437,6.418,0.577,6.958,123.85,24.6,87500,43340
340,True,900,1600,50,35,5,70.0%,62.3,-140,0.02959,-1.09782,-1.21173,0.736,0.935,5.829,114.0,40.9,87500,45274
